A_1,A_2,A_3,A_4,A_5,A_6,A_7
3.3027,1.1502,3.8975,0.080501,5.6003,3.4183,B
3.0908,0.16415,1.0415,3.1956,4.9133,2.3402,B
3.0395,2.0981,1.3761,1.4709,3.8104,0.0097849,B
0.47823,2.3193,3.9648,0.40866,5.1537,1.3985,B
3.6199,2.1468,4.0493,2.7261,4.9028,4.4577,B
0.42494,2.5731,5.0159,0.71173,6.187,2.6641,B
2.3023,0.008667,5.208,2.7094,6.5518,3.0887,B
4.4293,0.87621,5.3042,3.3572,6.4971,1.8553,B
3.2363,0.1538,4.7718,2.7993,5.8363,3.416,B
5.124,2.533,1.8838,3.1946,5.6166,5.7804,B
4.8423,0.20777,2.8617,3.2758,4.3338,2.9413,B
4.6953,0.079597,0.10317,0.73222,3.0559,2.439,B
4.1431,1.7078,3.055,2.3397,3.0294,0.85249,B
2.0028,0.10962,4.6262,1.5298,4.7222,2.4061,B
3.4759,0.67759,0.023955,0.65091,5.2589,5.4382,B
1.5034,0.33229,3.5291,1.609,4.5019,2.8973,B
3.5257,1.5396,2.0627,0.51327,5.3209,4.737,B
3.8028,2.6103,0.05147,2.2611,4.2457,2.5325,B
0.88099,1.508,0.93151,2.5813,4.6737,0.016269,B
3.5993,0.22077,3.4427,2.3167,1.1669,3.2233,B
2.5151,2.3256,1.2156,0.76157,2.3096,1.1283,B
2.6179,0.69549,3.4506,0.99804,1.4544,3.2675,B
1.1582,0.57367,0.87037,0.6612,2.6431,3.2924,B
0.32463,0.36078,3.0023,3.2512,1.981,0.77863,B
3.1874,2.3403,3.5045,2.8672,5.6281,0.55533,B
2.5167,2.6501,3.36,3.0221,0.32866,0.56666,B
0.74949,2.1418,3.791,3.0467,3.3875,4.2537,B
0.61503,2.4163,0.73003,1.364,5.2062,2.9232,B
1.4762,2.1437,1.1998,1.0368,5.2229,4.0132,B
2.5283,1.7508,4.2546,2.4307,0.31079,3.947,B
2.7335,1.1097,0.33132,3.891,6.1243,2.3408,B
3.0114,0.81545,3.1881,2.4426,3.5505,3.5775,B
2.7279,1.5291,1.4619,1.5901,0.0018968,0.53613,B
1.1238,0.36622,3.2344,0.79895,0.044412,4.3738,B
5.1633,3.6476,5.5032,0.17873,6.9589,5.8965,B
2.2877,0.20459,2.8054,1.9126,5.7483,0.45678,B
3.7449,2.3848,1.8996,1.7669,7.6218,0.24418,B
5.1613,1.5491,0.89559,0.22755,7.9422,0.29135,B
4.5823,1.2013,3.8234,0.051596,8.4108,1.2941,B
0.0043905,4.2141,3.2946,2.1856,5.0221,0.86944,B
0.62469,2.3303,4.7298,3.5456,7.5527,1.1727,B
3.0916,4.0332,3.9886,2.7103,6.1988,0.11142,B
5.248,4.5515,3.1857,3.2622,1.3858,3.0383,B
5.132,4.519,2.4975,3.6354,6.3831,2.2459,B
4.5627,1.0034,0.54331,1.6308,8.1175,3.186,B
4.981,2.2264,3.4842,0.83184,8.6119,2.8861,B
4.5614,0.76505,4.7569,0.37721,9.1184,2.5625,B
3.9018,4.0728,5.0489,3.3732,9.5659,4.4391,B
3.5218,4.8361,5.9041,4.613,9.5965,1.8169,B
2.3602,2.0659,4.2801,2.6391,8.2692,0.056309,B
1.6583,4.9419,5.6044,4.9246,8.8572,4.539,B
2.7656,4.8931,4.3617,4.2303,7.6764,2.6445,B
3.0034,3.1327,3.8408,1.9033,3.8357,2.518,B
3.6694,2.02,1.4687,2.096,7.7187,2.6583,B
0.60561,3.2212,0.001229,3.9592,5.8587,4.5201,B
0.87401,3.8369,0.89272,3.0163,8.1195,5.4779,B
0.9458,3.348,0.85484,0.33692,7.6951,4.1087,B
1.5643,2.4178,0.24021,2.9661,6.9448,4.1876,B
0.46807,1.5108,0.98097,3.5533,5.2221,3.6942,B
3.4371,2.7614,3.9489,1.4973,7.5984,3.4645,B
2.7755,0.58106,5.7562,1.5227,7.3787,4.8583,B
3.5949,0.52467,4.9679,3.0139,8.1395,5.4045,B
4.4695,1.6179,5.2802,5.3184,7.9454,4.6095,B
4.7967,3.5572,6.0814,4.7666,7.973,0.08431,B
0.009985,0.94733,1.0861,3.2962,6.3672,2.1038,B
3.7447,1.7851,0.40743,4.7704,4.6692,5.6014,B
2.175,3.4146,3.5938,1.3929,8.4242,6.2104,B
4.4873,0.79436,4.7536,3.7693,9.1458,6.3517,B
5.6665,2.5738,6.832,3.2684,9.5904,5.1622,B
3.8988,1.4996,4.9078,3.3653,8.04,6.3786,B
5.2863,3.3464,6.5807,5.38,9.1362,5.2353,B
4.2594,3.8591,5.4195,4.1319,7.6781,4.86,B
1.4648,2.8399,4.662,3.3272,3.6604,1.7793,B
3.2047,0.044322,2.9695,2.304,6.8686,4.6942,B
5.2119,0.48369,7.362,4.6841,5.0551,5.9379,B
4.7169,1.546,3.2564,0.0032806,7.6412,6.5892,B
5.7633,2.1448,5.1129,3.9332,6.9565,6.6909,B
5.7919,1.8035,5.1822,4.3419,6.0516,6.0348,B
6.5442,0.10671,5.1224,4.1644,4.5394,5.5871,B
2.551,5.1357,5.0234,3.9184,0.39912,3.1796,B
6.3164,3.6494,4.0088,0.12688,4.8712,0.89955,B
5.0318,4.7769,3.9501,5.0438,0.89249,3.2618,B
0.92481,5.3205,2.9811,5.1301,2.9124,4.9484,B
5.5933,5.3006,0.051724,5.3579,4.5515,6.0306,B
4.7079,1.698,6.4615,2.6642,3.602,2.0913,B
7.0234,0.41931,2.0481,3.8501,6.2031,5.8756,B
7.2195,4.9246,5.4515,0.67959,4.2132,3.995,B
7.1666,6.0904,6.8519,3.1579,0.18004,2.9965,B
6.9629,6.4304,7.7709,2.428,3.1408,0.62026,B
6.7503,5.3572,3.1281,3.6343,5.198,3.748,B
5.7795,6.0949,7.3824,0.004457,4.1514,5.2626,B
5.1671,4.5684,5.6702,3.1846,2.8808,1.4101,B
0.15103,0.01166,2.7561,2.0733,3.1515,0.78151,B
4.9476,3.7963,6.7877,0.78583,3.7164,0.074307,B
6.354,4.6773,7.7306,6.2272,5.1242,2.4133,B
4.454,5.3225,6.3722,0.40874,2.9134,4.4667,B
4.9223,5.0324,3.3381,2.4681,0.74796,2.5417,B
1.8759,4.8165,3.3503,4.7976,2.6986,5.4531,B
3.3583,3.94,5.8974,5.3299,4.5117,5.5846,B
3.5598,1.7353,5.7218,4.7222,1.9364,2.5273,B
4.0813,3.5097,2.5518,4.4874,4.6514,4.8029,B
3.5527,2.0129,4.5962,0.041812,4.9371,4.5312,B
3.1128,2.5365,6.651,3.8659,4.8235,2.4748,B
3.042,3.8049,7.7072,4.8836,1.0482,5.3333,B
3.8173,3.8319,3.734,2.7542,4.1853,3.1303,B
3.7479,5.071,7.7592,5.8862,4.2953,6.3613,B
4.5496,5.0273,6.7405,5.6385,5.7607,6.8341,B
5.2598,4.78,4.2283,3.7201,6.4031,6.3692,B
5.7219,4.2458,5.3326,5.2755,6.1759,6.8429,B
4.6336,4.6768,6.1084,4.0964,4.5323,6.2688,B
5.5724,3.2369,7.8114,3.4348,5.7523,4.7795,B
5.2793,2.3799,7.8596,0.00095037,3.782,2.3815,B
4.1632,0.030552,7.6304,2.2965,1.8847,0.10538,B
1.8323,2.7498,6.6082,4.5245,3.7465,6.4288,B
4.6477,0.32248,5.8891,1.6548,4.0003,0.52093,B
4.6411,0.9652,4.6544,4.1311,4.5961,4.5553,B
5.3494,0.01363,4.0813,1.715,2.8932,3.7812,B
4.9259,2.2592,5.8515,0.053861,3.7657,1.8067,B
4.0675,3.7739,7.1813,3.5444,1.301,4.7789,B
4.3645,2.1969,5.7798,1.2231,6.4464,3.8636,B
4.2578,3.1967,6.2991,1.7714,0.43742,4.5457,B
2.8483,1.8759,2.8479,0.052172,4.7769,4.0917,B
1.4204,0.020049,7.0478,0.59979,4.6048,5.0933,B
3.6797,2.8251,8.1381,1.9455,1.3903,6.3895,B
3.2013,2.9372,5.5528,1.3961,7.2095,5.915,B
5.1162,4.3136,8.5209,2.8628,2.0685,4.17,B
4.9708,4.2337,7.8294,3.5785,5.9587,3.7466,B
4.8566,4.8497,5.7829,3.6324,5.2642,0.019777,B
4.5796,4.4422,4.2165,4.5231,3.3715,5.4894,B
1.3427,4.0042,1.9859,1.9571,4.0897,4.363,B
2.3921,4.3991,7.3899,3.8731,1.8702,5.2875,B
0.084416,3.0198,7.4149,3.753,2.4085,3.314,B
2.0832,0.084826,6.9565,1.4601,2.6099,3.0447,B
4.328,1.8269,5.7483,2.9403,0.031814,1.5461,B
3.2634,2.2981,7.4271,0.44493,5.9213,4.3875,B
3.4882,3.3461,3.5629,3.3661,3.8154,4.3748,B
3.9064,1.0168,4.2361,4.7179,5.1512,3.0831,B
1.7349,0.5158,1.9332,3.3627,5.2253,4.4137,B
0.044588,0.01251,4.1677,2.7945,5.2311,3.6901,B
1.8106,3.0774,6.0285,0.33111,4.8302,5.7531,B
2.7421,1.6564,5.342,3.1362,5.9472,4.6679,B
3.2574,4.3929,6.6974,1.6939,4.3386,3.5146,B
3.2534,4.3172,6.6806,1.2961,3.4845,3.7457,B
0.034905,3.555,5.6661,0.5106,4.254,0.87644,B
3.8715,3.198,4.2822,2.6866,5.1201,4.6675,B
0.94632,0.54538,1.7028,2.367,6.6437,5.3463,B
1.4096,3.3081,5.0567,1.1568,6.5576,4.9854,B
3.1039,4.3375,5.4142,4.1982,5.9078,6.265,B
2.1504,4.6738,6.4628,3.9457,5.9425,5.4854,B
4.1342,3.8649,6.9632,0.13137,6.2348,5.3364,B
0.85206,4.4509,7.2204,5.1073,4.4487,4.7843,B
2.0005,2.8004,6.9124,4.5304,3.3325,4.7365,B
3.5728,2.1471,7.3502,1.71,0.42279,2.3952,B
3.1299,1.191,5.3327,1.255,4.4522,2.1549,B
4.6103,4.6943,6.6828,4.2926,5.234,0.45044,B
3.4924,4.2225,4.7515,4.8973,3.0828,4.8424,B
3.8881,4.9703,6.0948,4.6199,4.4332,3.8277,B
4.5228,5.5767,6.9352,4.99,1.6411,2.1858,B
4.6022,5.8275,5.7468,4.4235,1.9345,2.6759,B
3.5038,3.6084,5.853,5.2818,4.3951,4.5238,B
3.6246,4.3889,3.805,4.0358,3.8166,4.2243,B
3.6501,2.8164,5.8541,0.81303,3.8732,5.1924,B
5.5776,4.7108,6.9473,4.3559,4.3621,3.5841,B
5.3027,6.1687,7.622,4.444,3.7977,0.41135,B
4.2006,4.8125,5.9361,2.5094,5.8705,1.8049,B
5.5136,6.2209,7.2354,5.2197,4.0824,0.050176,B
3.7464,5.853,4.898,5.0424,4.8443,5.021,B
0.059776,5.505,5.4412,5.2644,5.9784,0.92451,B
3.3591,3.8618,6.5733,3.7417,5.9356,1.021,B
3.6774,4.0905,5.0233,3.6365,3.0833,2.4597,B
1.0323,1.0079,7.4321,3.4175,5.3389,0.5421,B
0.32038,2.909,6.2165,2.5753,3.9954,2.6627,B
2.4079,3.4288,2.75,4.4077,1.6114,3.562,B
4.5622,3.2481,0.0064335,3.8851,4.3689,3.9674,B
3.8275,2.8158,7.3793,3.9325,5.2376,3.2827,B
2.1134,0.0011174,1.9083,4.0577,3.3805,0.077025,B
4.3588,2.0902,5.6264,2.7413,0.51648,3.7436,B
5.5169,3.4451,6.8294,0.024907,1.263,2.6587,B
6.283,4.3432,7.1344,2.6334,4.6329,2.7689,B
1.8479,0.48738,4.5926,0.47786,5.9733,0.31505,B
5.1838,3.9032,4.6507,1.033,4.1453,0.8604,B
2.1917,0.98522,5.2002,2.2713,5.408,3.1042,B
4.9659,2.6792,7.1505,1.6313,6.141,1.1595,B
6.122,4.6612,7.913,2.1552,6.9598,0.51399,B
5.3068,3.8464,6.4131,1.4912,0.35941,3.7431,B
6.7295,5.4578,7.7697,1.155,4.8999,0.11425,B
7.0398,5.1874,6.7534,3.2372,1.7946,3.031,B
6.1654,4.6088,5.6479,3.9024,5.166,0.34394,B
5.9745,3.574,4.2788,1.5136,6.69,3.9613,B
5.1028,3.3417,0.44904,2.1264,5.4145,0.28283,B
4.9459,2.0031,4.1122,0.017481,6.5554,4.6009,B
2.7265,3.3425,4.0114,1.2226,6.2007,2.6302,B
1.9337,3.2583,5.3857,0.52167,3.9291,2.7279,B
5.0404,4.057,6.0703,1.5836,2.6176,1.9955,B
4.0613,4.7987,7.0933,2.9192,5.1675,5.7123,B
4.7726,3.1143,2.8013,2.9603,4.6202,5.3197,B
2.4448,0.65214,6.7008,0.72739,5.5823,4.5046,B
3.9167,1.2464,8.103,1.0939,5.7847,3.2734,B
6.1973,3.8997,8.8649,0.83713,6.7401,3.4644,B
2.2976,0.26805,4.3794,1.9222,3.0147,5.3024,B
6.083,4.7452,8.1664,3.2271,6.2354,4.5418,B
5.2623,3.6831,5.7994,2.23,0.052656,4.5492,B
0.93565,0.90707,6.977,1.4105,5.8491,4.4356,B
5.2758,2.9028,8.9939,1.9224,7.2438,6.178,B
3.816,0.82073,6.3148,1.4727,5.8354,3.4497,B
6.8094,4.6502,9.6348,4.2447,7.9655,3.6543,B
6.9487,4.5014,9.4128,4.1477,7.0708,3.6954,B
6.9941,4.4659,8.9265,4.1402,6.2308,0.39873,B
6.6992,4.2941,8.0243,1.6338,5.3768,5.6487,B
5.6778,3.7023,7.8096,2.0091,2.8384,0.048873,B
5.4182,3.545,3.3641,0.13389,5.1207,5.5704,B
1.5324,3.5928,5.7486,2.6535,5.3206,4.7062,B
4.7529,0.95373,7.0813,2.753,5.4428,4.5652,B
5.2836,2.6027,7.7316,2.1681,6.2621,1.3865,B
1.6774,3.5169,7.5278,4.9555,5.9253,0.035503,B
5.3771,1.3892,7.3045,3.9694,5.7757,1.4467,B
3.7664,2.7673,7.0128,3.7497,5.6673,2.3786,B
0.33941,4.516,6.5499,4.2613,5.8618,0.10564,B
0.62721,5.4228,5.001,4.4266,6.7221,1.8202,B
1.7704,0.028525,4.6963,3.444,2.8827,3.699,B
2.6371,4.4128,5.6972,0.72645,6.2282,0.79671,B
2.0052,0.09965,4.168,2.4103,5.6741,4.3784,B
2.682,4.4941,2.4997,3.3979,4.3742,2.2685,B
2.6672,5.5088,0.29133,4.6664,4.5645,0.21455,B
4.7136,5.2107,5.4471,4.0986,0.63194,3.5694,B
2.461,6.2566,4.5816,4.899,6.2717,2.7472,B
3.4599,5.8889,5.082,5.0999,6.8859,2.661,B
3.3942,5.5064,5.6099,4.9209,7.2932,2.4977,B
0.73345,5.0441,6.6606,3.5893,7.7908,0.057867,B
0.3395,4.2628,4.265,2.4006,6.2345,3.0031,B
4.4464,1.0355,6.9066,0.00092943,7.6842,1.7105,B
4.7304,1.9615,6.2164,2.7812,7.1622,2.8863,B
3.0615,4.046,4.6545,4.1064,4.8883,2.1753,B
3.3422,4.8657,3.6136,3.7664,5.1818,4.2229,B
4.9952,4.6398,1.0507,3.8279,4.2561,4.0783,B
2.2727,4.2826,5.2396,4.0405,6.2556,1.8306,B
1.5679,3.6557,4.1922,4.2398,5.853,5.2949,B
4.9552,2.6183,4.3716,2.6238,3.2827,5.9517,B
4.1964,1.1504,1.0889,2.558,3.4653,4.1013,B
3.5574,0.96103,3.5251,0.028539,5.3196,2.3213,B
2.5892,2.0047,3.8023,2.3257,4.882,0.035496,B
0.019524,2.0459,0.0042451,2.1434,6.3631,4.6096,B
3.7799,0.14726,0.0073682,1.5372,5.9748,3.4981,B
3.705,2.0339,3.6564,0.10168,4.0248,4.8973,B
4.1509,2.0546,2.055,2.3158,5.1121,4.3776,B
4.0805,0.71462,4.8469,3.7067,3.7295,4.0498,B
5.176,0.34164,0.88637,2.2024,4.7885,3.7601,B
5.292,0.19824,2.2971,3.4231,4.6453,4.0023,B
4.5762,1.226,0.70351,3.3168,5.973,2.195,B
2.096,0.77498,4.6354,1.5916,6.4381,3.6054,B
4.5693,1.8358,1.1006,0.39034,5.8145,3.5072,B
2.7725,0.0031278,3.0463,1.5549,6.3742,5.2939,B
4.2554,2.0722,2.4449,0.40128,6.2807,3.67,B
4.0437,0.38889,0.75681,0.1216,1.1529,0.89573,B
5.18,4.6569,1.5611,3.1262,5.2482,2.0542,B
3.6309,3.4718,3.7307,2.442,4.4151,1.0213,B
3.3469,3.7444,3.1072,3.7736,4.9419,4.8674,B
3.9244,4.2745,5.0737,4.1537,5.3368,4.6747,B
3.6973,4.9481,5.4888,4.7622,4.4682,4.6792,B
2.0077,2.9016,3.6416,2.1369,2.3735,2.287,B
1.6392,3.8957,5.6954,3.4792,5.2481,3.1226,B
3.9997,0.92809,4.8574,0.059323,5.1854,2.1002,B
4.8211,3.6224,1.6744,3.4822,4.9752,2.9589,B
4.1125,4.9488,4.6494,4.8065,0.043368,5.0027,B
5.3184,3.8536,3.894,4.3748,4.1167,5.6902,B
3.7618,5.648,6.3871,5.2964,4.8102,5.2263,B
3.7709,5.2714,6.5011,5.1098,5.7691,4.4991,B
1.8342,4.961,6.4595,4.9393,5.2231,1.3152,B
3.2286,4.7225,5.8701,4.5703,5.4026,2.8233,B
2.4336,3.3868,5.3368,3.2966,5.1724,0.45651,B
0.72065,2.3215,4.7352,2.2011,5.5839,2.8644,B
2.186,1.2046,2.2401,1.8325,2.2371,4.4635,B
1.4809,1.5959,3.6021,3.2596,4.5527,2.4899,B
3.8089,3.9472,3.6293,4.5453,0.3264,2.9044,B
3.2866,4.6618,7.9271,4.0155,6.9339,6.2709,B
3.4474,4.152,5.9198,4.3099,6.2142,5.4833,B
0.0065833,5.0099,7.2744,4.7276,6.0663,6.1907,B
0.56005,4.6491,7.5137,3.6339,6.8444,6.0103,B
3.6194,4.1858,7.6238,4.2378,6.6762,5.7672,B
1.4621,1.9837,4.5807,1.3253,3.3521,3.2734,B
4.2459,2.7819,6.8343,3.4056,5.0399,3.6858,B
2.6516,3.3384,0.64678,2.5429,2.7114,0.046953,B
3.6487,4.7362,5.3599,2.7257,5.2354,5.3869,B
0.21518,4.9279,6.8413,3.8854,6.4443,5.8682,B
2.755,4.2599,6.9152,3.7126,7.1103,5.5819,B
3.9223,5.0088,7.9662,4.6156,7.6169,5.2169,B
4.1985,3.1489,8.1877,5.1255,7.5283,6.0017,B
5.2634,0.10846,8.4054,5.2331,7.3125,5.9123,B
5.5852,0.062768,8.4587,4.1573,6.7751,5.9081,B
2.5118,0.0059388,6.2116,1.9291,3.6978,4.241,B
4.6231,2.1754,6.9211,0.00072676,3.7706,5.5915,B
3.1734,0.18722,1.9675,1.74,4.4891,3.495,B
1.7548,0.017543,6.2859,3.1996,5.9629,4.277,B
4.2857,2.4941,7.7589,3.1979,6.0428,5.7704,B
4.5722,4.7938,6.4942,4.3053,6.9872,4.5021,B
3.8492,3.4448,7.6131,2.3272,6.424,5.5115,B
1.1099,4.0327,6.8382,3.8786,6.0093,5.2667,B
1.9158,3.6183,6.1169,2.2181,5.8274,3.3921,B
3.2763,3.1578,4.5429,0.25046,6.0532,2.6649,B
3.4699,2.1767,2.1811,1.5244,6.0079,5.2627,B
0.92539,0.69573,2.1097,2.4052,4.8731,2.2495,B
1.8464,2.6021,1.6956,3.094,2.6817,3.6318,B
2.9607,3.127,1.8141,1.7268,4.412,2.9795,B
4.5348,3.5788,1.0818,2.4295,5.8726,0.23544,B
3.5659,4.077,3.3053,3.7037,1.4091,5.3763,B
4.2494,3.3728,2.7484,0.42582,5.4123,2.0567,B
4.6628,3.4462,3.904,1.0031,5.3917,0.29502,B
3.7722,3.2768,4.6542,0.85237,5.494,4.4193,B
1.179,2.5383,5.9805,2.2733,5.0238,4.5846,B
2.5478,0.29153,5.9946,2.5991,5.2514,4.6154,B
3.3966,0.031148,5.8833,0.778,5.9415,5.0355,B
4.4359,2.489,6.0922,0.96867,4.3564,5.8596,B
4.4156,2.6317,5.422,1.3324,0.0024385,3.6015,B
3.8401,2.997,1.7815,0.017176,3.5946,3.0387,B
4.9038,2.1551,3.6632,4.7405,6.7923,5.7433,B
1.9585,2.486,0.054915,3.6364,6.2705,4.6661,B
3.9644,1.9263,4.1238,4.5299,6.1939,4.9607,B
5.3877,2.3624,3.8594,4.9066,6.3745,5.7684,B
5.2973,1.388,2.7696,5.1711,6.0703,5.5773,B
3.5888,1.6087,3.9889,0.0051691,3.0529,4.8925,B
5.3315,0.80022,4.7637,2.8611,5.6376,2.5578,B
4.7066,2.2776,5.4246,3.229,4.9598,5.7854,B
1.2651,3.3135,5.3338,5.1297,4.0367,6.97,B
2.243,3.628,4.9186,5.5819,0.040828,7.2359,B
5.2103,2.6594,0.34119,4.8426,5.5245,4.799,B
5.5811,2.5754,1.21,5.4651,6.0819,6.5205,B
6.4051,1.3543,5.5563,5.1528,7.0643,4.49,B
6.687,1.5726,5.6081,3.9283,7.9456,3.253,B
6.7988,3.3652,6.885,3.278,7.9843,6.4038,B
5.0138,4.0209,4.9457,1.1373,6.2217,0.90616,B
6.4226,3.649,6.5849,2.2485,7.6957,6.0809,B
4.8428,4.0535,5.0748,3.1993,6.0995,5.4641,B
2.2634,3.4974,4.3054,3.5075,4.2348,4.5947,B
4.5215,0.012887,4.6066,3.6599,6.4654,3.6431,B
2.9683,1.4335,3.0507,1.8956,6.7265,4.7127,B
5.6941,0.23477,5.4016,1.6365,7.5832,0.15751,B
5.2818,2.1751,4.9246,2.58,7.321,2.0025,B
4.2951,1.8334,4.5764,1.2249,7.0893,1.3188,B
4.3619,0.15805,2.4482,1.0246,6.7358,3.6188,B
0.95386,1.5616,1.2354,1.5773,2.2494,0.26348,B
3.4452,1.485,1.4231,0.016656,5.9726,4.9474,B
0.46452,1.08,0.008871,1.9675,3.0419,4.069,B
0.47649,2.2244,2.4119,1.3097,4.4824,0.40797,B
3.6831,1.2281,1.5927,2.2849,6.5279,0.60347,B
3.8379,1.1435,4.1433,3.8061,6.6084,2.3999,B
4.9036,0.42731,2.2668,0.54956,7.7747,3.7274,B
5.0075,0.051561,4.5774,0.77961,7.4935,4.378,B
5.337,2.5184,4.3727,0.060067,7.5669,2.9471,B
4.7989,2.0118,2.4085,0.089276,7.0337,5.0048,B
3.6684,2.0791,1.1236,2.96,5.4804,1.9905,B
2.7988,2.3392,3.1597,1.0938,3.7833,2.3997,B
0.16393,1.87,4.508,2.806,3.8155,1.5104,B
3.5346,0.84061,4.3575,2.2763,5.9259,2.2647,B
3.3573,4.2781,4.5821,3.9956,5.2966,3.0803,C
3.3277,1.4984,4.1819,2.4184,5.4422,4.6813,C
6.5663,4.2375,4.3166,3.1871,5.9138,2.856,C
2.4024,3.2178,2.3952,1.8905,3.4356,1.8298,C
2.6995,2.5426,5.1239,3.7815,3.3119,3.5004,C
4.3225,4.0859,5.6074,4.4646,5.4638,4.3563,C
3.2874,1.3463,3.9052,1.1137,4.7043,2.5031,C
3.9874,5.0057,5.667,5.1916,6.463,0.96021,C
1.9619,5.1785,5.1124,3.8598,5.9902,1.5649,C
2.3359,4.0084,3.6246,2.8685,5.2091,2.9219,C
2.0532,3.9995,0.67694,2.0864,3.4515,3.3165,C
0.14868,1.9932,2.9512,3.165,4.6339,3.1174,C
2.7528,2.4946,4.193,1.7256,0.082645,3.3755,C
1.0405,0.8872,4.5056,2.3648,2.5147,2.8811,C
0.45361,0.58803,4.0447,2.2886,2.7843,4.2443,C
0.1742,3.0259,3.4409,3.1143,2.0928,0.033542,C
4.3166,0.9618,4.4625,3.0801,4.0451,0.82909,C
3.302,3.0688,2.3013,3.0681,2.5236,3.6129,C
4.45,2.158,2.1768,3.7457,5.1494,4.0012,C
4.8413,1.9737,3.5843,2.6444,6.4377,3.3476,C
5.0097,0.40558,4.1825,0.36143,6.9543,3.3196,C
1.5225,2.3522,4.3404,2.2341,5.6114,3.2649,C
2.9042,0.31833,0.2754,1.7224,6.5518,1.694,C
2.018,0.42199,1.8431,3.8316,5.4657,0.84476,C
4.4883,0.5609,3.0631,4.203,4.4817,4.2603,C
4.7686,0.03323,4.519,1.2204,4.8623,3.7987,C
4.7518,1.524,4.9542,2.3057,7.218,2.9611,C
5.6649,2.7935,4.7946,1.3321,6.7261,0.99091,C
5.2617,0.29581,3.7966,0.0011846,7.4095,2.4609,C
5.0432,1.3997,5.7236,2.0149,8.1108,3.4461,C
5.0935,1.9762,3.6138,0.74722,8.212,2.8469,C
2.4304,0.0072782,4.1113,1.4182,5.5575,0.04677,C
1.6421,2.4921,2.2578,1.5248,7.9933,3.0627,C
1.1844,0.081334,1.5654,3.9195,7.1486,5.3325,C
3.8127,1.9106,4.7778,0.49949,3.7723,0.28738,C
4.813,1.5298,3.9324,0.083594,6.3331,2.982,C
4.6438,0.050329,6.5317,2.5592,6.597,2.7123,C
4.4657,1.4881,1.6921,0.058581,7.1329,4.9689,C
4.0251,1.8177,4.4704,3.5066,6.6345,5.8597,C
2.9708,2.1108,6.4994,2.8618,2.6857,2.5776,C
2.4281,3.4179,6.9614,1.0556,7.3652,2.251,C
3.7315,4.0712,3.1618,1.8873,5.29,0.36607,C
3.1679,4.1995,6.3504,0.52973,8.0305,1.285,C
3.3599,3.5155,4.6137,2.6565,7.329,2.6174,C
4.561,0.35455,3.7877,0.5044,4.9636,2.4679,C
4.5029,1.0473,6.5362,0.17339,7.4449,0.033027,C
0.34354,4.2382,4.6142,1.3727,5.5096,3.4491,C
0.36865,4.6046,7.1723,2.4394,8.858,3.2854,C
3.0324,5.05,6.9509,2.2148,8.5278,2.2563,C
5.7527,5.0045,7.3051,2.8573,8.1303,1.256,C
6.3155,4.6279,7.1063,1.6888,5.3796,3.3221,C
5.5865,4.3343,6.1619,3.0836,6.5401,5.0127,C
6.0804,4.0355,6.4254,0.64633,6.6709,0.036791,C
4.9084,1.6955,6.0929,1.6202,6.0323,4.4843,C
0.092038,1.5994,3.1285,1.7198,6.8425,4.534,C
3.7296,2.436,5.9544,1.8487,4.8759,0.20491,C
5.4445,0.77525,3.8511,0.53754,8.634,4.0796,C
3.9432,1.8606,5.4826,1.3447,1.7245,2.0034,C
0.87868,0.5891,4.9895,2.714,5.1946,1.475,C
3.5393,1.4864,0.79405,2.85,0.94374,3.492,C
3.2506,2.6217,5.4563,3.3417,5.1578,3.1326,C
5.4035,2.0819,2.3633,1.6226,4.4227,4.2077,C
0.58524,0.10178,3.9483,2.7877,6.1693,3.5044,C
3.0471,2.4832,1.6403,1.4836,5.9158,2.0468,C
4.8695,1.6857,2.8811,2.8522,6.0141,2.6355,C
4.7007,3.4429,5.2117,3.5507,3.2781,0.025287,C
0.91188,2.522,3.2035,3.6577,4.7858,0.51276,C
3.6986,3.7908,5.0423,3.6235,4.3085,3.699,C
2.7747,2.6038,5.0318,2.3558,3.8896,1.8324,C
1.1357,2.7176,5.4089,2.0218,6.3931,4.5761,C
2.4565,0.20632,4.8867,1.8261,6.8056,5.8919,C
0.54824,3.4959,3.3921,2.5895,5.5366,4.0672,C
1.8617,1.6373,5.4409,2.26,6.8488,2.1665,C
2.3261,0.062431,4.7743,0.94664,6.8995,0.036041,C
2.5213,1.2965,0.85185,0.40548,5.0882,3.2379,C
3.1866,1.2544,4.5609,2.2977,4.0053,5.354,C
5.7932,4.1801,3.6531,3.8438,8.3155,6.062,C
4.2018,0.7978,5.3834,3.1332,4.3125,3.496,C
5.5047,2.5066,5.0295,2.9859,6.5308,1.579,C
5.2738,0.31448,1.3615,0.14681,7.7166,3.32,C
5.4245,1.2622,2.9379,0.018306,8.1183,1.9141,C
3.9894,3.3262,4.5788,2.8114,5.5418,4.1551,C
3.8749,0.60805,3.7212,0.42393,7.1333,2.6159,C
1.9,2.5019,4.3978,3.8351,0.17871,1.3225,C
3.0032,0.0089477,5.5129,2.8794,6.2324,3.7061,C
5.1751,1.5367,6.3067,3.9715,7.5834,5.0655,C
5.0586,1.5262,4.1564,1.3806,8.2545,1.0412,C
5.5444,0.95624,4.7825,2.5885,8.8038,1.6542,C
5.9587,0.60606,2.1405,0.92989,8.9618,4.047,C
